"Site_Subject_ID","X","Y","Elevation","Gradient","Trees"
10001,400,495,148.9,0.109818,0
10004,520,425,152.91,0.04732878,0
10012,385,410,145.39,0.05538074,0
10018,670,235,154.36,0.04237075,0
10026,76.2,232.1,,,1
10028,55,500,141.82,0.09128746,0
10030,823.7,443.7,,,1
10032,175,370,145.32,0.04436667,0
10038,85,365,149.82,0.02579147,0
10040,10,450,139.34,0.2322903,0
10042,775,405,156.42,0.04844314,0
10044,75,290,145.86,0.06002659,0
10046,305,420,148.66,0.05492115,0
10050,800,365,154.07,0.05017257,0
10051,665,60,143.62,0.1092022,0
10052,205,170,142.11,0.05117391,0
10054,735,340,156.01,0.01841102,0
10058,930,250,132.06,0.08347035,0
10065,560,475,155.81,0.06733042,0
10066,760,345,155.76,0.02308085,0
10076,515,100,145.22,0.0993746,0
10086,185,370,144.78,0.04911214,0
10089,440,80,142.66,0.1534572,0
10090,550,490,154.6,0.1295097,0
10093,205,465,146.5,0.04159436,0
10099,615,185,151.89,0.02820278,0
10111,70,355,149.62,0.02936677,0
10113,715,380,156.74,0.03053384,0
10114,680,305,155.43,0.02582109,0
10117,635,210,152.75,0.03091608,0
10122,650,500,159.48,0.01061132,0
10123,205,450,145.9,0.04176313,0
10124,880,180,138.47,0.1961815,0
10128,580,335,153.18,0.05205185,0
10137,500,320,148.62,0.1133323,0
10138,650.2,20.3,,,1
10140,695,165,154.15,0.03929529,0
10141,430,115,144.29,0.009292937,0
10143,740,265,156.4,0.01953611,0
10153,100,95,135.3,0.1225224,0
10154,834,3.5,,,1
10158,480,390,149.6,0.06949242,0
10166,565,300,151.28,0.05985171,0
10171,370,205,142.48,0.05070361,0
10175,190.5,435.9,,,1
10176,840,365,151.1,0.1155551,0
10177,725,495,158.35,0.01702068,0
10179,855,60,131.14,0.1859659,0
10186,235,0,135.9,0.2245354,0
10190,120,125,137.18,0.07104797,0
10192,405,495,148.44,0.1095339,0
10193,0,440,139.11,0.2510754,0
10197,840,410,153.54,0.1105187,0
10205,905,215,135.79,0.1588888,0
10208,944.5,420.9,,,1
10214,795,105,153.05,0.2023672,0
10216,680,285,155.32,0.02898157,0
10221,65,495,142.34,0.07796572,0
10223,220,320,142.16,0.0501013,0
10235,240,235,140.02,0.02374479,0
10238,220,165,142.63,0.03504856,0
10240,540,340,151.55,0.05566556,0
10253,95,305,146.86,0.059742,0
10254,640,325,155.05,0.04055199,0
10261,570,85,145.77,0.1229842,0
10263,215,490,147.77,0.04312917,0
10265,980,495,132.02,0.04375036,0
10267,485,250,143.15,0.1232745,0
10270,940,130,130.46,0.1041551,0
10273,778.2,156.7,,,1
10275,305,390,147.04,0.06814381,0
10276,610,385,155.92,0.03500848,0
10282,60,175,139.88,0.05614603,0
10288,90,115,133.24,0.0472714,0
10293,455,305,141.74,0.06982691,0
10295,685,270,155.05,0.03445819,0
10301,355,485,151.28,0.07599993,0
10302,510,165,146.88,0.06749569,0
10308,990,20,122.27,0.0967707,0
10309,835,165,146.57,0.3007144,0
10316,175,375,,,0
10323,145,210,140.18,0.0757778,0
10326,505,45,136.1,0.2176919,0
10331,185,25,139.56,0.05082042,0
10332,835,500,149.63,0.1943523,0
10335,129,383.9,,,1
10337,690,300,155.66,0.02174712,0
10340,644.1,61.4,,,1
10348,440,20,130.24,0.1519958,0
10351,175.2,307,,,1
10356,185,100,140.51,0.04866217,0
10357,580,345,153.43,0.05551832,0
10361,165,255,142.48,0.06282194,0
10362,805,315,153.43,0.07038828,0
10368,62.5,284.7,,,1
10370,560,355,152.84,0.05626633,0
10371,289.8,461.1,,,1
10376,145,390,146.6,0.06487837,0
10387,15,425,144.71,0.2130979,0
10389,225,475,,,0
10390,75,50,132.05,0.1167829,0
10398,555,90,145.96,0.1103201,0
10401,860,0,127.03,0.08795075,0
10403,460,450,150.21,0.1004421,0
10415,310.2,473.6,,,1
10419,695,170,154.23,0.03851953,0
10420,810,285,153.36,0.1199944,0
10421,705,185,154.86,0.03949143,0
10422,800,355,154.25,0.05408852,0
10426,540,305,150.44,0.06577188,0
10427,100,365,149.43,0.04167117,0
10434,145,245,142.09,0.07178366,0
10441,30,365,148.95,0.03984343,0
10442,825.4,319.6,,,1
10446,420,160,143.62,0.04493311,0
10448,345,435,148.89,0.07702045,0
10451,2.5,7.7,,,1
10457,685,85,145.5,0.1338822,0
10459,50,250,143.6,0.03988906,0
10464,545,5,133.38,0.163206,0
10469,830,400,154.46,0.06359107,0
10475,640,465,158.73,0.0257076,0
10478,220,250,139.74,0.04267346,0
10479,740,70,143.56,0.1410689,0
10481,50.2,86.8,,,1
10483,10,390,147.73,0.1161306,0
10486,515,170,147,0.06977588,0
10487,130,170,136.64,0.04482328,0
10489,505,340,149.81,0.08637986,0
10491,360,375,144.67,0.03603287,0
10495,295,180,142.69,0.03656672,0
10504,435,405,146.68,0.1180246,0
10505,700,230,155.34,0.03899647,0
10508,985,100,124.25,0.09500457,0
10511,70,240,143.52,0.04703946,0
10514,824.8,210.5,,,1
10515,525,465,153.94,0.06021564,0
10517,120,390,148.4,0.06599601,0
10519,860,295,144.6,0.1817887,0
10520,825,270,151.16,0.1770545,0
10521,720,235,156.2,0.02537187,0
10522,19.5,214.6,,,1
10524,530,155,147.9,0.05207508,0
10525,55,80,135.01,0.1473699,0
10526,245,455,148.59,0.05760194,0
10527,795,230,155.24,0.08022738,0
10531,375,0,128.31,0.1349377,0
10534,700,335,156.38,0.01823765,0
10546,575,465,156.49,0.06340211,0
10547,870,500,142.93,0.1851493,0
10550,545,210,148.78,0.08394151,0
10551,235,490,148.72,0.05485372,0
10553,325,250,140.59,0.01424946,0
10554,732.8,39.6,,,1
10555,833.9,299.6,,,1
10559,945,270,131.39,0.05588965,0
10561,365,380,144.82,0.03739623,0
10563,134.9,80.2,,,1
10565,535,370,152.19,0.05864801,0
10567,10,230,142.97,0.04839461,0
10574,820,215,152.41,0.1884174,0
10575,830,75,139.64,0.2365335,0
10576,230,165,142.75,0.02904627,0
10577,820,240,151.86,0.1797658,0
10581,415,480,146.44,0.07705983,0
10582,285,375,145,0.0886633,0
10586,575,290,151.72,0.05661718,0
10587,510,395,151.44,0.06180901,0
10592,630,60,144.91,0.1039981,0
10595,615,350,155.07,0.04681083,0
10596,630,395,156.59,0.03043263,0
10598,310,370,145.66,0.0787392,0
10599,985,290,130.81,0.03227425,0
10606,435,195,141.47,0.03240938,0
10609,980,290,130.84,0.02775449,0
10611,650,345,156.04,0.04134377,0
10615,490,90,143.13,0.1372851,0
10618,895,455,138.44,0.0896102,0
10621,320,155,143.37,0.02175693,0
10629,570,240,150.95,0.04535584,0
10630,322.8,339.2,,,1
10636,95,135,133.93,0.04537542,0
10643,740,195,155.95,0.01916026,0
10648,55,90,135.98,0.1065328,0
10651,505,335,149.66,0.0892086,0
10654,905,395,143.07,0.1231153,0
10659,20,210,141.92,0.05418312,0
10660,813.5,100.2,,,1
10661,145,440,147.25,0.05102954,0
10666,920,45,127.84,0.08376588,0
10667,245,370,143.75,0.06988907,0
10670,210,115,142.01,0.04187478,0
10672,85,425,149.5,0.03798839,0
10675,385,270,141.47,0.02062187,0
10685,895,60,129.37,0.06711649,0
10690,925,265,132.6,0.1385239,0
10692,500,95,144.55,0.1203865,0
10702,520,360,151.2,0.06359117,0
10704,750,165,155.5,0.02335013,0
10707,555,45,139.45,0.1496671,0
10708,50,160,139.28,0.05196972,0
10709,930,455,137.72,0.1021708,0
10712,835.3,139.4,,,1
10719,125,65,136.7,0.04274768,0
10720,120,480,148,0.05220851,0
10722,375,30,134.64,0.2365797,0
10725,160,365,145.53,0.05016132,0
10726,900,245,136.73,0.1963661,0
10733,577.4,3.3,,,1
10735,945,350,135.67,0.1871084,0
10741,170,165,140.19,0.05435146,0
10743,605,330,154.19,0.04734821,0
10744,300,305,140.71,0.02583664,0
10745,285,275,140.42,0.003905441,0
10746,15,455,139.13,0.2140132,0
10749,223.1,404.4,,,1
10750,415,45,136.46,0.2247947,0
10752,290,40,141.16,0.1276253,0
10754,250,490,149.54,0.05458082,0
10757,175,125,,,0
10758,861.4,204,,,1
10760,5.1,133.9,,,1
10762,46.8,425.5,,,1
10764,375,420,146.38,0.06894517,0
10766,295.6,485.7,,,1
10768,920,255,132.46,0.1469645,0
10770,160,205,139.84,0.03895347,0
10778,795,120,154.3,0.1535215,0
10780,720,60,141.9,0.1168938,0
10784,40,210,141.91,0.05598943,0
10786,810,140,151.56,0.2483389,0
10789,80,265,144.81,0.04767376,0
10791,865,440,145.84,0.2186376,0
10793,713.4,17.2,,,1
10794,680,280,155.25,0.03123325,0
10798,590,80,145.74,0.1225743,0
10803,220,390,144.02,0.05251725,0
10804,10,0,123.46,0.3284767,0
10813,400,485,148.17,0.1070526,0
10819,825,295,151.3,0.1558255,0
10820,203.5,357.6,,,1
10824,850,435,150.39,0.2209846,0
10825,945,365,138.12,0.2045581,0
10827,895,25,126.92,0.09601497,0
10828,930,270,132.63,0.1228365,0
10834,830,160,147.49,0.3054885,0
10837,65,135,137.67,0.09420466,0
10840,935,220,131.82,0.07753334,0
10844,780,415,156.39,0.04715106,0
10861,450,110,144.64,0.03470534,0
10862,755,120,153.28,0.1333991,0
10865,840,220,147.58,0.2346102,0
10867,200,355,143.67,0.05529785,0
10880,125,5,135.46,0.04369392,0
10881,240,330,141.69,0.0352517,0
10884,180,460,147.14,0.04700878,0
10894,855.5,488.7,,,1
10896,815,345,153.19,0.07929489,0
10897,900,315,139.94,0.1418991,0
10898,10,265,144.26,0.04842291,0
10901,10,340,147.86,0.04435022,0
10907,229.2,443.9,,,1
10910,860,380,151.01,0.1422758,0
10914,175,490,148.49,0.0257643,0
10915,210,395,143.86,0.03670775,0
10916,950.7,374.4,,,1
10917,20,405,147.65,0.1349775,0
10922,310,0,132.69,0.1562606,0
10927,185,490,148.41,0.03761804,0
10929,918.3,445.4,,,1
10932,780,240,156,0.03888514,0
10933,644.5,26.7,,,1
10937,910,30,126.74,0.0960335,0
10939,345,350,144.12,0.03953396,0
10941,920,125,131.57,0.08072252,0
10949,860,480,144.49,0.1315662,0
10952,590,50,142.04,0.1312292,0
10954,570,5,136.5,0.1797937,0
10956,450,210,141.43,0.02511284,0
10964,125,380,148.11,0.0663228,0
10966,290,425,148.7,0.05483906,0
10968,915,360,140.58,0.1039742,0
10970,525,195,146.86,0.0869045,0
10982,425,405,145.51,0.1042117,0
10985,595,405,155.55,0.04406117,0
10988,895,495,138.88,0.1496002,0
10992,395,155,143.77,0.02381996,0
10998,425,145,143.98,0.0247959,0
11003,279.8,414.2,,,1
11009,740,145,154.95,0.06234182,0
11010,847.9,437.5,,,1
11012,315,320,141.46,0.06036898,0
11018,605,155,151.2,0.03877001,0
11019,240,370,143.64,0.06486549,0
11021,985,460,131.77,0.1939878,0
11024,525,475,153.71,0.08815874,0
11027,885,380,146.14,0.2013788,0
11031,740,270,156.12,0.0217569,0
11040,695,135,153,0.08731076,0
11044,930,375,140.68,0.1272338,0
11046,890,390,145.1,0.1786925,0
11048,955,465,135.38,0.08839341,0
11049,480,310,145.27,0.1446064,0
11051,125.8,24,,,1
11052,715,5,137.19,0.1053963,0
11054,615,455,158,0.05030435,0
11055,745.1,120.1,,,1
11056,10,385,147.94,0.09889473,0
11061,845,385,152.42,0.1078224,0
11063,935,370,140.18,0.1660481,0
11065,995,310,130.3,0.05030586,0
11066,825,85,141.75,0.2495074,0
11073,460,420,149.9,0.07860843,0
11077,145,480,148.12,0.003684307,0
11081,976.4,381.3,,,1
11082,355,240,140.69,0.02266447,0
11085,290,300,140.58,0.01613766,0
11090,518.7,402.1,,,1
11096,10,260,144.05,0.04474209,0
11099,700,220,155.17,0.03971973,0
11112,785,105,153.13,0.1507807,0
11115,225,375,143.5,0.04718398,0
11116,515,445,153.15,0.05102087,0
11119,625,270,153.37,0.03561267,0
11120,990,305,130.41,0.04249498,0
11123,800,135,153.97,0.1704556,0
11135,720,325,156.37,0.01295164,0
11136,425,305,142.15,0.02563659,0
11137,895,10,126.29,0.07314446,0
11140,590,200,151.31,0.04428331,0
11148,370,390,145.22,0.04315688,0
11155,305,270,140.38,0.007682174,0
11157,795,415,155.59,0.05318377,0
11160,290,125,143.61,0.01110471,0
11165,585,15,139.47,0.129374,0
11167,195,490,148.08,0.04483431,0
11174,50,375,149.58,0.02219587,0
11175,712.6,87.2,,,1
11180,345,25,135.57,0.2259551,0
11181,125,285,145.21,0.0635794,0
11182,760,235,156.3,0.01094319,0
11189,375,280,141.41,0.02208847,0
11192,255,120,143.1,0.02355478,0
11193,930,85,128.15,0.06675911,0
11201,85,295,146.19,0.06050987,0
11210,750,405,156.76,0.02758968,0
11212,965,255,131.5,0.03140112,0
11215,410,5,128.09,0.1351002,0
11220,465,430,150.58,0.06692323,0
11224,280,155,143.4,0.01157148,0
11225,890.7,253.5,,,1
11229,45,205,141.62,0.0559425,0
11230,130,10,135.82,0.04942174,0
11235,960,95,126.93,0.09074918,0
11241,675,435,157.54,0.033434,0
11244,290,345,142.68,0.08099824,0
11245,603.6,100.9,,,1
11249,945,45,125.8,0.09856665,0
11250,915,290,136.28,0.1717183,0
11251,480,360,148.07,0.09308832,0
11253,665,180,153.41,0.03334624,0
11258,715,130,153.05,0.1252917,0
11260,786.8,100.7,,,1
11263,320,55,142.51,0.1046984,0
11265,826.4,260.7,,,1
11269,330,260,140.5,0.007439236,0
11277,645,380,156.92,0.02663812,0
11288,765,150,155.32,0.03399839,0
11292,780,465,156.64,0.06228823,0
11293,210,305,142.39,0.06177644,0
11294,830,100,141.9,0.2755185,0
11308,290,305,140.65,0.02180808,0
11312,945,190,131.83,0.09212294,0
11315,820,265,151.93,0.1681521,0
11316,505,350,150.04,0.0819555,0
11321,370,330,143.69,0.04034063,0
11326,200,135,142.14,0.04619254,0
11336,545,125,,,0
11337,215,135,142.65,0.03102995,0
11341,250,50,141.41,0.03670355,0
11342,605,205,152.23,0.03327928,0
11343,175.4,259,,,1
11345,770,260,156.14,0.02161372,0
11346,20,285,145.63,0.0594665,0
11354,725,75,,,0
11373,95,115,133.1,0.0633069,0
11375,420,440,145.84,0.07126266,0
11385,920,485,136.07,0.1282081,0
11386,675,250,154.47,0.04310423,0
11393,251.7,401.3,,,1
11395,760,180,155.8,0.01669612,0
11400,320,50,142.05,0.1310824,0
11404,740,380,156.34,0.02687542,0
11405,499.4,354.2,,,1
11411,777.9,390.2,,,1
11414,85,275,145.04,0.05434538,0
11418,252,393.7,,,1
11422,175,80,139.5,0.07464117,0
11423,195,235,140.18,0.07274816,0
11426,135,300,145.73,0.06098224,0
11428,810,80,143.88,0.2544266,0
11433,45,100,136.64,0.05974148,0
11434,760,125,154.13,0.1058831,0
11435,530,495,151.52,0.1655779,0
11438,380,95,144.19,0.02278776,0
11439,620,85,147.28,0.09002941,0
11440,85,405,149.9,0.01602586,0
11445,505,0,128.88,0.1356972,0
11446,955,150,128.67,0.1248018,0
11447,295,90,143.25,0.03127452,0
11458,210,470,146.76,0.04297135,0
11466,785,280,155.52,0.05105792,0
11470,985,105,124.23,0.09580523,0
11482,760,55,143.5,0.1359213,0
11484,365,125,143.98,0.006050004,0
11491,110,475,147.85,0.0682754,0
11513,210,430,145.29,0.04908345,0
11514,570,65,142.93,0.1441914,0
11515,760,315,155.35,0.02715668,0
11516,945,140,130.29,0.1143166,0
11517,895,380,143.06,0.1748013,0
11523,105,70,136.25,0.1168015,0
11524,265,385,145.36,0.08480711,0
11526,465,495,145.98,0.03315107,0
11528,250,100,142.51,0.03227744,0
11529,455,245,141.28,0.02384538,0
11530,160,55,137.37,0.07349974,0
11535,510,10,130.19,0.1568903,0
11539,441.7,346.7,,,1
11542,960,190,130.35,0.1025545,0
11543,810,375,153.7,0.04334159,0
11545,450,260,141.42,0.01991814,0
11549,625,55,144.53,0.1052565,0
11553,535,110,147.17,0.08202707,0
11557,510.5,418.5,,,1
11567,555,360,152.82,0.05772186,0
11573,465,75,139.72,0.1595129,0
11576,161.3,117.7,,,1
11577,460,100,144.25,0.09058213,0
11585,550,205,149.35,0.07762435,0
11588,685,240,155.09,0.04355526,0
11595,425,310,142.28,0.02974175,0
11602,665,170,153.37,0.03498435,0
11612,95,335,148.43,0.04980911,0
11614,25,420,146.66,0.1705799,0
11616,165,230,140.26,0.08189908,0
11617,125,227,,,0
11620,390,380,144.39,0.04670299,0
11626,645,475,159.01,0.01899099,0
11627,460,460,149.41,0.1220057,0
11640,685,180,154.02,0.03710201,0
11645,170,135,140.27,0.06879148,0
11646,465,175,143.05,0.07082571,0
11648,355,260,140.77,0.0127424,0
11652,669.3,269.3,,,0
11658,53.6,393,,,1
11659,365,230,141.08,0.03516711,0
11662,540,270,149.52,0.06219449,0
11678,105,45,134.91,0.05216465,0
11681,480,335,146.8,0.1257812,0
11686,140,135,138.22,0.06079598,0
11693,55,210,141.81,0.05763661,0
11697,901.1,485.3,,,1
11703,735,100,148.29,0.1835695,0
11705,3.8,264.9,,,1
11709,460,245,141.42,0.03267358,0
11712,55.1,210.7,,,1
11721,630,120,150.59,0.07221989,0
11723,150,235,141.16,0.06791544,0
11726,605,5,138.6,0.1158989,0
11731,160,30,137.48,0.07041765,0
11734,40,425,147.43,0.1472039,0
11735,660,120,151.43,0.09548936,0
11746,335,90,143.96,0.01700918,0
11750,110,15,135.08,0.03086441,0
11757,715,275,155.76,0.0182783,0
11758,679.5,109.4,,,1
11759,975,390,132.26,0.1741546,0
11762,910,80,129.26,0.07941941,0
11763,755,280,155.86,0.02423468,0
11767,750,490,157.89,0.02833539,0
11772,95,185,140.06,0.09133188,0
11776,545,235,149.8,0.07134657,0
11780,405,100,144.12,0.02088351,0
11781,365,180,143.44,0.02579602,0
11782,400,490,148.54,0.108254,0
11784,190,455,146.53,0.04568771,0
11785,65,475,143.34,0.1449441,0
11794,915,340,139.79,0.143209,0
11799,910,295,137.08,0.1587883,0
11802,925,340,138.03,0.1794628,0
11803,149.1,357.1,,,1
11804,755,50,142.64,0.1262695,0
11807,650,40,142.23,0.09273799,0
11809,830,480,148.94,0.1863022,0
11814,100,225,142.46,0.0636919,0
11815,610,230,152.53,0.02993185,0
11818,350,330,143.54,0.05257677,0
11822,445,350,145.26,0.0949244,0
11825,320,215,141.57,0.03996771,0
11827,135,185,137.1,0.04642582,0
11829,52.5,387.1,,,1
11839,60,460,144.29,0.1756342,0
11842,985,395,130.61,0.1475045,0
11845,510,345,150.27,0.07651024,0
11847,8.9,143.1,,,1
11852,365,395,145.36,0.05127675,0
11855,520,215,146.83,0.09945283,0
11858,315.8,344.2,,,1
11859,835,225,148.39,0.2225716,0
11861,820,445,152.93,0.1598826,0
11868,775,450,156.83,0.04127637,0
11869,730,490,158.28,0.01861603,0
11870,60,425,148.83,0.0971801,0
11871,370,290,141.39,0.03188306,0
11883,470,340,145.99,0.1165707,0
11886,995,480,129.73,0.07356262,0
11889,840,215,148.01,0.2432418,0
11890,245,475,149.01,0.05549784,0
11898,245,435,148.11,0.06510709,0
11899,875,305,141.81,0.162517,0
11904,475,470,148.89,0.1362996,0
11905,930,260,132.09,0.1034445,0
11912,645,255,153.51,0.03405454,0
11914,225,495,148.3,0.04846606,0
11916,65,280,145.29,0.05880797,0
11918,95,500,144.56,0.1071882,0
11922,545,330,151.63,0.05604901,0
11924,209,497.1,,,1
